term_id,term,cluster_id,domain,is_representative,coherence_score,domain_label_quality,representative_quality,notes
term_28537334be6786e5aad6,Adjusted gross disposable income of households per capita in PPS,cluster_0747a3157ffb,cross-domain or other,false,2,wrong,good,Coherent income and GDP-per-capita cluster; domain should be economy and finance.
term_1f0f520b54430bc6abe1,Population connected to Wastewater Treatment,cluster_0759ac914a9e,cross-domain or other,true,2,wrong,good,Coherent water and wastewater access cluster; domain should be environment and energy.
term_fc4c296a653c39b9033c,Population connected to wastewater collection and treatment systems,cluster_0759ac914a9e,cross-domain or other,true,2,wrong,good,Coherent water and wastewater access cluster; domain should be environment and energy.
term_0d7a0d04c0ce32966ea7,Agricultural holdings by agricultural area,cluster_08676e4a8f67,"agriculture, forestry, and fisheries",true,2,correct,good,Coherent agricultural holdings and land-price cluster.
term_d2e804e762d250d07c7c,Air passenger transport - ENP-South countries,cluster_0a4bab53e5fe,transport,true,1,correct,acceptable,Transport cluster is valid but mixes air passenger/freight with road freight.
term_962f61904b6619372cea,"Purchase price indices, total means of agricultural production",cluster_26a602793f11,cross-domain or other,true,2,wrong,good,"Coherent agricultural price-weight cluster; domain should be agriculture, forestry, and fisheries."
term_027275b4917a775d06d1,Country level - gross weight of goods transported to/from main ports,cluster_2cdcfe259942,transport,false,2,correct,good,Coherent maritime freight-weight cluster in transport.
term_9cedd100584c1a2e3c09,Gross weight of goods in Ro-ro units transported in short sea shipping from/to the top 5 EU ports for goods in Ro-ro units,cluster_2cdcfe259942,transport,true,2,correct,good,Coherent maritime freight-weight cluster in transport.
term_e6cd08c5e530a7d55c17,Gross weight of liquid bulk goods transported in short sea shipping from/to the top 5 EU ports for liquid bulk goods,cluster_2cdcfe259942,transport,true,2,correct,good,Coherent maritime freight-weight cluster in transport.
term_a03bdea9a2c1ac178e82,"Short sea shipping - country level - gross weight of goods transported to/from main ports, by direction",cluster_2cdcfe259942,transport,false,2,correct,good,Coherent maritime freight-weight cluster in transport.
term_9a3dacd0972009bf63b3,"Short sea shipping - country level - volume (in TEUs) of containers transported to/from main ports, by loading status",cluster_2cdcfe259942,transport,false,2,correct,good,Coherent maritime freight-weight cluster in transport.
term_5cb1785dd3f1be3b9d22,"Non-financial corporations debt, consolidated - % of GDP",cluster_310e64b58954,economy and finance,false,2,correct,good,Coherent private-sector debt and credit-flow cluster.
term_20f0568d3084e3c66191,"Private sector credit flow: debt securities by sectors, consolidated - % of GDP",cluster_310e64b58954,economy and finance,true,2,correct,good,Coherent private-sector debt and credit-flow cluster.
term_1718a2844b38ef2cb8e6,"Private sector debt: loans, by sectors, non-consolidated - % of GDP",cluster_310e64b58954,economy and finance,true,2,correct,good,Coherent private-sector debt and credit-flow cluster.
term_9f55fe8d95776762c3e3,Gross domestic product at market prices - ENP-East countries,cluster_3977913ff325,economy and finance,true,2,correct,good,Coherent GDP-at-market-prices cluster.
term_0fcf4e988e3ce59aa8b1,Out-of-school rate by sex and age - as % of the population of the corresponding age,cluster_436a35bf5d70,education,false,2,correct,good,Coherent pupil and education participation cluster.
