term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_87d243722416b23f4ead,(from onwards),other_ambiguous,0.4435610560170142,semantic-hybrid,False,local classifier abstained below validation threshold,"[""occ_29cccaa06d21d5708875""]",run_3ad2978aa8bb2627ae2f
term_795d25e8b6c54379ddd5,", former methodology and source",other_ambiguous,0.4188917060321407,semantic-hybrid,False,local classifier abstained below validation threshold,"[""occ_bf153b8a3d93b560533c""]",run_3ad2978aa8bb2627ae2f
term_d315b7068c9f258ff5d8,-,other_ambiguous,0.6322997194317191,semantic-hybrid,False,local calibrated classifier prediction,"[""occ_0e1b61e04430fa135f5b"", ""occ_1bdb26df3e473d30a345"", ""occ_1be45dd9a1fd18effbf1"", ""occ_25dc7323a8396588b355"", ""occ_43466c9e2b4e9016568b"", ""occ_4e83002509ddae9eafaa"", ""occ_6c74f13fda0af715b904"", ""occ_794435e41a69cc5c9f79"", ""occ_998179b0bcdfd80c56d8"", ""occ_af45a612032ba8a8b369"", ""occ_b3d9dca7aa2e2901ab4f"", ""occ_d698e8fffa4adac7c6df"", ""occ_ec8c3051e79f33c0afa7"", ""occ_fa5189abcaf003b95145""]",run_3ad2978aa8bb2627ae2f
term_7dbe5cff94a0cbad95fe,-?Rhus - Hornslet,other_ambiguous,0.535170301441679,semantic-hybrid,False,local classifier abstained below validation threshold,"[""occ_a7f41548db3b5839a76a"", ""occ_f21a57132ad662173995""]",run_3ad2978aa8bb2627ae2f
term_0396c8db39477096380b,-?Rhus - Lang-?,other_ambiguous,0.5440868246829523,semantic-hybrid,False,local classifier abstained below validation threshold,"[""occ_5732d7dd7520f5b1e008"", ""occ_d10603cb4d048663c0f1""]",run_3ad2978aa8bb2627ae2f
term_358f1c2927f4171edb41,-?Rhus - Skanderborg,other_ambiguous,0.532004259538026,semantic-hybrid,False,local classifier abstained below validation threshold,"[""occ_a777b4c6cd047ef5874e"", ""occ_abe90db9416ca8554ddb""]",run_3ad2978aa8bb2627ae2f
term_85deb372eeb4aa66d25d,-Århus - Hornslet,other_ambiguous,0.5422829392897115,semantic-hybrid,False,local classifier abstained below validation threshold,"[""occ_94c290f0a989282ae90e"", ""occ_efe4bb20ab7887ac5b21""]",run_3ad2978aa8bb2627ae2f
term_5e0b4717fe4c57cb0cdd,-Århus - Lang-Å,other_ambiguous,0.5435607732740151,semantic-hybrid,False,local classifier abstained below validation threshold,"[""occ_c574de283e4472e110a1"", ""occ_d1edc891acc0ed544859""]",run_3ad2978aa8bb2627ae2f
term_d16f68f0716ab9a27294,-Århus - Skanderborg,other_ambiguous,0.5319109372226217,semantic-hybrid,False,local classifier abstained below validation threshold,"[""occ_a8aa21203b665fb7bcef"", ""occ_d4a6b304cd29e3e7f9bd""]",run_3ad2978aa8bb2627ae2f
term_e59a1d02a7f81d7bb761,0_X_37,other_ambiguous,0.5709030966636565,semantic-hybrid,False,local calibrated classifier prediction,"[""occ_09cb40c409e9eb21b5b2"", ""occ_7b39c7fccc3fce7702d1"", ""occ_990d3132deade14aaa97"", ""occ_d94da6c4b521a0eac86d"", ""occ_f09885803c000b02f8dd"", ""occ_f9547747dc3ff0acb968""]",run_3ad2978aa8bb2627ae2f
